ID	start	end	transcription
BP-S9-C-0	24.675	25.095	えと
BP-S9-A-0	27.141	29.601	番号順に意見とか言っていきますか
BP-S9-C-1	28.841	29.111	あ
BP-S9-B-0	29.471	30.321	あ はい
BP-S9-C-2	30.011	30.591	そうです
BP-S9-A-1	31.471	31.775	えと
BP-S9-A-2	32.116	32.616	私は
BP-S9-A-3	32.981	34.091	二時と三時が
BP-S9-A-4	34.69	36.0	人が一番多くて
BP-S9-A-5	36.836	37.19	でー
BP-S9-A-6	38.321	39.068	正門
BP-S9-A-7	39.331	39.671	に
BP-S9-A-8	40.136	40.426	なんか
BP-S9-A-9	40.586	41.466	食べ物屋さんが
BP-S9-A-10	41.776	42.436	ちょっといっぱい
BP-S9-A-11	42.775	43.45	あるんですけど
BP-S9-A-12	44.176	46.976	二時三時って一番ちょっと小腹がすく時間で
BP-S9-A-13	47.971	48.781	で正門
BP-S9-A-14	49.021	50.841	今食べ物屋さんがいっぱいあって
BP-S9-A-15	51.056	51.426	ちょっと
BP-S9-A-16	52.376	53.996	激戦区ではあるんですけど
BP-S9-A-17	54.765	56.875	正門一番人が通ると思うので
BP-S9-D-0	55.031	55.531	う うん
BP-S9-A-18	57.255	58.165	二時三時
BP-S9-A-19	60.035	63.975	あの そういう に 時間帯のことも考えて食べ物屋さん
BP-S9-A-20	64.611	65.631	系を正門の
BP-S9-A-21	65.996	68.221	ところに置くのがいいかなと思いました
BP-S9-B-1	68.521	69.201	はい
BP-S9-A-22	68.66	68.98	はい
BP-S9-A-23	72.131	73.041	以上です
BP-S9-B-2	72.72	73.13	はい
BP-S9-B-3	73.41	75.791	えーと
BP-S9-D-1	73.596	74.036	はい
BP-S9-B-4	78.831	80.011	あ えーと
BP-S9-B-5	81.911	85.101	来場者数がピークになるのが二時三時
BP-S9-B-6	85.46	86.37	の辺りなんですけど
BP-S9-B-7	87.2	87.91	そのあの
BP-S9-B-8	88.05	89.201	その二時間くらい前の
BP-S9-B-9	89.46	91.04	12時13時の
BP-S9-B-10	91.981	93.211	段階で なん
BP-S9-B-11	93.801	94.141	の
BP-S9-B-12	94.811	95.901	来場者数が
BP-S9-B-13	96.141	97.901	増え始めているんですね 大幅に
BP-S9-B-14	99.801	100.491	だからあの
BP-S9-D-2	99.941	100.601	うんうん
BP-S9-B-15	102.525	104.105	昼ごはんをもう
BP-S9-B-16	105.141	105.531	ここで
BP-S9-B-17	106.821	108.261	食べようとしてる人
BP-S9-B-18	110.925	111.255	も
BP-S9-B-19	112.551	113.731	多くいると思うですよ
BP-S9-C-3	115.311	116.031	うんうん
BP-S9-B-20	115.391	115.831	で
BP-S9-D-3	115.751	116.141	はい
BP-S9-B-21	118.401	122.081	それがどうしたって話だな
BP-S9-B-22	125.615	126.025	で
BP-S9-B-23	130.895	132.075	北エリア
BP-S9-B-24	133.595	134.025	は
BP-S9-B-25	136.991	137.461	まあ
BP-S9-B-26	137.995	138.655	多く人
BP-S9-B-27	141.211	141.88	来ます
BP-S9-B-28	142.47	143.611	一番
BP-S9-B-29	145.246	145.916	来る場所で
BP-S9-B-30	147.925	148.215	うん?
BP-S9-C-4	154.721	155.431	うーん
BP-S9-B-31	155.263	156.233	南
BP-S9-C-5	155.676	156.006	なん
BP-S9-B-32	157.465	158.655	他のエリア
BP-S9-B-33	160.861	162.191	を通りかかる
BP-S9-B-34	164.121	164.381	ん
BP-S9-C-6	165.095	169.085	えと 出展内容と出展場所どっちを先に決めたほうが良いですかね
BP-S9-B-35	165.751	166.181	と
BP-S9-B-36	169.121	169.661	あー
BP-S9-B-37	173.121	174.66	出展内容
BP-S9-B-38	179.011	181.56	出展する内容とか ん
BP-S9-D-4	180.668	181.527	うーん
BP-S9-A-24	182.741	185.121	どの層狙うかとか決めて
BP-S9-B-39	183.26	183.56	どう
BP-S9-C-7	184.661	185.451	うーん
BP-S9-B-40	185.211	185.871	あー
BP-S9-A-25	186.061	186.331	で
BP-S9-A-26	187.885	188.865	うーん
BP-S9-A-27	190.82	194.141	場所からですかね どうなんですかね 内容ですか
BP-S9-D-5	192.344	205.572	内容 場所を決めてからなんか周りのやつとかとこう 比べて そう そういうかんじで決めていったほうが内容は決まりやすいんじゃないかなと思います
BP-S9-C-8	195.996	196.676	あー
BP-S9-B-41	196.416	197.146	あー
BP-S9-A-28	196.501	197.251	ですね
BP-S9-C-9	198.251	199.531	競合しないような
BP-S9-C-10	205.761	206.381	なるほど
BP-S9-B-42	206.721	207.261	なるほど
BP-S9-A-29	207.821	209.061	じゃ 場所から
BP-S9-C-11	211.13	212.13	しょ うーん
BP-S9-C-12	218.461	224.811	北が 正門が 北エリアが一番なんか良いという意見が出てたと思うですけど
BP-S9-B-43	222.881	224.221	うーん
BP-S9-A-30	223.101	223.821	そうですね
BP-S9-C-13	225.621	232.161	東も結構いっぱいあるってことはたぶん人通りあるとこなんじゃないかなって思ったんですけど
BP-S9-D-6	233.518	234.284	うんうん
BP-S9-C-14	236.951	239.231	逆に 西と南ってあんまり
BP-S9-A-31	240.601	241.241	そう
BP-S9-C-15	241.121	243.801	ない ないのかなと思ったんですけど
BP-S9-B-44	241.521	242.85	そうですよね
BP-S9-D-7	243.235	245.141	ですね うーん
BP-S9-B-45	246.105	250.805	裏門から来る人がそもそも少ないような気がするんですよね
BP-S9-A-32	249.251	249.924	そうです
BP-S9-C-16	250.796	252.586	なんかそんな感じしますよね裏門て
BP-S9-B-46	252.635	253.035	はい
BP-S9-D-8	253.703	254.193	うんうん
BP-S9-B-47	253.72	254.85	でテントエリア
BP-S9-B-48	255.05	260.58	でも 一番目を引くメインステージの裏にあるのは
BP-S9-C-17	260.956	261.576	うーん
BP-S9-D-9	261.563	262.813	あー
BP-S9-B-49	262.3	264.81	そもそも人が来ないのではと
BP-S9-B-50	265.87	266.621	思いますね
BP-S9-A-33	274.871	276.981	じゃ 南エリアは無しにしますか
BP-S9-C-18	276.751	277.481	うーん
BP-S9-D-11	277.486	279.095	ですね
BP-S9-D-12	280.485	280.815	うん
