ID	start	end	transcription
TP-S11-D-0	1.914	3.172	じゃあよろしくお願いします
TP-S11-C-0	2.665	4.43	あーお願いします
TP-S11-B-0	2.703	4.308	あ お願いします
TP-S11-A-0	3.042	4.6	お願いします
TP-S11-D-1	3.73	4.301	お願いしまーす
TP-S11-C-1	5.158	5.297	えっ
TP-S11-C-2	5.541	5.735	と
TP-S11-C-3	6.106	7.171	まず何話しましょう
TP-S11-A-1	6.131	6.685	どうしましょうか
TP-S11-B-1	7.003	7.86	外国人
TP-S11-D-2	8.841	14.152	とりあえず適当になんか案を立ててそこから良さそうなものを収集していく方が良いんでしょうかね
TP-S11-A-2	9.932	10.345	うん
TP-S11-B-2	10.173	10.787	ふふん{LAUGH}
TP-S11-A-3	11.473	11.752	うん
TP-S11-C-4	12.462	12.923	んー
TP-S11-C-5	14.999	15.527	じゃあ まあまず
TP-S11-C-6	15.73	16.426	場所あたりを
TP-S11-D-3	16.84	17.577	そうですね
TP-S11-B-4	17.092	17.427	（？）
TP-S11-B-5	18.129	18.908	んー日本
TP-S11-C-7	18.391	18.8	まず
TP-S11-C-8	19.019	21.101	日本のどこ どこだろう
TP-S11-D-4	19.477	19.832	日本
TP-S11-B-6	20.735	21.151	どこ
TP-S11-C-9	21.787	22.921	普通に考えると京都とか
TP-S11-B-7	21.863	22.04	に
TP-S11-B-8	22.747	23.173	京都
TP-S11-A-4	22.971	23.413	京都 
TP-S11-C-10	23.001	23.916	{LAUGH}
TP-S11-D-5	23.208	24.45	京都とかになりますかね
TP-S11-A-5	23.72	24.811	京都いいですね
TP-S11-C-11	24.411	26.853	でも一泊二日だからあまり遠い所
TP-S11-B-9	26.452	27.217	そうだよねぇ
TP-S11-C-12	27.287	28.654	は行けなくなりますよね
TP-S11-A-6	27.93	28.184	うん
TP-S11-B-10	28.76	29.985	あ 鎌倉とか
TP-S11-D-6	28.822	29.077	うん
TP-S11-C-13	30.649	31.381	あーでも
TP-S11-B-11	31.055	31.397	わりと
TP-S11-C-14	31.697	32.952	なるほど とりあえず書いていきましょう
TP-S11-C-15	34.202	34.922	京都
TP-S11-A-7	34.995	35.329	（何も言っていない）
TP-S11-B-12	35.776	36.14	京都
TP-S11-C-16	38.036	38.891	
TP-S11-D-7	40.251	40.914	で京都
TP-S11-B-13	42.527	42.862	あと
TP-S11-C-17	42.782	44.662	他に何か場所とかの案があれば
TP-S11-A-8	42.882	43.271	京都
TP-S11-B-14	44.949	49.422	あと今だったら富士山とか ちょうど世界遺産に登録されてるんで
TP-S11-D-8	47.452	48.293	あーそうですね
TP-S11-C-18	47.518	48.427	あーそうか
TP-S11-A-9	48.575	49.173	うーん
TP-S11-C-19	48.866	49.48	夏
TP-S11-C-20	50.002	50.389	なるほど
TP-S11-B-15	50.561	51.41	そういうのとか
TP-S11-C-21	51.844	52.408	夏
TP-S11-C-22	52.607	53.175	ですもんね
TP-S11-B-16	53.548	54.403	あ そうですね
TP-S11-C-23	54.582	55.015	富士山
TP-S11-B-17	56.667	57.454	富士山か
TP-S11-D-9	58.92	59.855	京都 鎌倉
TP-S11-B-18	59.82	60.941	夏
TP-S11-A-10	60.509	60.856	夏
TP-S11-A-11	61.06	61.485	京都 
TP-S11-A-12	62.244	62.497	うん
TP-S11-B-19	62.688	64.182	夏の京都はつらいかも
TP-S11-D-10	63.35	63.93	夏の京都
TP-S11-A-13	64.176	64.467	うん
TP-S11-C-24	64.5	65.344	あー確かに
TP-S11-C-25	65.457	65.898	{LAUGH}
TP-S11-D-11	65.495	68.101	夏の鎌倉も結構暑いって聞きますもんね
TP-S11-B-20	65.857	66.356	う
TP-S11-B-21	67.983	68.685	確かに
TP-S11-D-12	68.957	72.941	でも一番日本らしいって言えば京都 鎌倉とかその辺になりますよね
TP-S11-C-26	69.048	69.988	（無音）
TP-S11-C-27	71.702	72.299	んー
TP-S11-A-14	71.806	72.167	うん
TP-S11-B-22	72.217	72.884	そうですね
TP-S11-A-15	74.098	75.743	でも一泊二日ですからね 
TP-S11-C-28	74.343	74.728	（無音）
TP-S11-A-16	75.946	76.026	 一
TP-S11-A-17	76.229	76.503	泊
TP-S11-D-14	77.004	78.26	一泊二日短い
TP-S11-C-29	77.028	77.105	一
TP-S11-C-30	77.348	78.105	泊二日
TP-S11-A-18	78.912	79.325	うん
TP-S11-D-15	80.006	80.617	一泊二日
TP-S11-C-31	80.414	82.113	あまりいろんなとこには行けない
TP-S11-B-23	82.875	83.573	
TP-S11-D-16	83.641	84.601	そうですよねぇ
TP-S11-A-19	84.731	86.163	東京でもいいかもしれない
TP-S11-B-24	85.122	85.484	うん
TP-S11-C-32	85.314	85.604	うん
TP-S11-D-17	86.224	86.519	なるほど
TP-S11-B-25	86.482	86.796	なん
TP-S11-C-33	86.878	88.359	あ まあ そうですね 東京
TP-S11-B-26	87.033	87.893	浅草とか
TP-S11-B-27	88.215	88.522	京 
TP-S11-C-34	88.56	89.043	あー
TP-S11-B-28	88.746	89.676	東京だったら
TP-S11-D-18	89.958	90.224	確か
TP-S11-C-35	90.033	91.572	東京
TP-S11-B-29	91.29	91.852	東京
TP-S11-C-36	93.32	93.428	一
TP-S11-D-19	93.572	95.804	浅草とかスカイツリーとかも良いかもしれませんね
TP-S11-C-37	93.7	94.216	泊二日
TP-S11-A-20	95.529	96.061	うん
TP-S11-B-30	95.83	96.974	あーいいですね
TP-S11-C-38	96.331	98.384	そうすると東京だと一泊二日で
TP-S11-A-21	98.385	98.78	うん
TP-S11-B-31	98.906	99.419	浅草
TP-S11-C-39	99.551	100.491	良さ気ですけど
TP-S11-B-32	99.786	100.718	スカイツリーか
TP-S11-D-20	101.511	105.171	東京だったら確かに 浅草みたいな いわゆる日本的な所から
TP-S11-A-22	104.063	104.393	うん
TP-S11-D-21	105.602	107.945	スカイツリーのような所も見れますし
TP-S11-A-23	108.23	108.506	うん
TP-S11-C-40	108.291	108.738	んー
TP-S11-B-33	108.424	108.88	（何も言っていない）
TP-S11-D-22	109.01	109.98	あとスカイツリー
TP-S11-D-23	110.679	111.762	良いかもしれないですね
TP-S11-C-41	114.454	114.775	うん
TP-S11-B-34	115.248	115.909	（無音）
TP-S11-B-35	118.333	118.762	うーん
TP-S11-B-36	119.182	119.685	少し
TP-S11-B-37	122.207	122.803	（何も言っていない）
TP-S11-C-43	122.862	124.175	外国の友人
TP-S11-A-24	124.56	124.716	（無音）
TP-S11-B-38	124.799	125.55	外国
TP-S11-C-44	126.444	127.892	共通の友人
TP-S11-D-24	128.632	129.216	そうですよね
TP-S11-B-39	129.313	129.499	うん
TP-S11-D-25	131.671	132.518	そうですよね
TP-S11-C-45	131.778	135.86	外国人の友人が日本に一泊二日の旅にしを
TP-S11-C-46	136.174	137.511	旅をしにます
TP-S11-B-40	138.088	139.336	旅 え 旅
TP-S11-C-47	138.141	139.743	旅なんだ 旅行じゃないんだな
TP-S11-D-26	138.335	138.687	旅
TP-S11-C-48	139.785	141.17	{LAUGH}
TP-S11-D-27	140.129	141.794	旅 ま 一緒じゃないですか 旅も旅行も
TP-S11-A-25	141.036	141.251	（なし）
TP-S11-C-49	141.279	142.164	んまあまあいいか はい
TP-S11-B-41	141.564	141.748	
TP-S11-A-26	141.651	141.868	うん
TP-S11-B-42	142.021	143.639	日本を案内してほしい
TP-S11-C-50	142.384	142.465	で
TP-S11-B-43	144.055	144.488	日本
TP-S11-C-51	145.393	146.451	そこでみなさん
TP-S11-C-52	146.809	146.912	が
TP-S11-D-28	147.474	148.732	日本を案内してほしい
TP-S11-C-53	147.754	148.608	計画
TP-S11-A-27	147.835	148.162	うん
TP-S11-B-44	149.894	150.446	んー
TP-S11-D-29	151.401	152.877	そうですね もう
TP-S11-B-45	153.027	153.519	日本
TP-S11-C-54	153.646	154.19	んー
TP-S11-D-30	154.373	154.867	難しい
TP-S11-B-46	155.154	155.473	ふふ{LAUGH}
TP-S11-A-28	155.662	156.103	{LAUGH} 
TP-S11-B-47	156.037	157.903	日本難しいな
TP-S11-A-29	156.892	157.22	うん
TP-S11-A-30	157.949	159.52	一泊二日はなかなか
TP-S11-A-31	159.725	160.576	ないですよね
TP-S11-B-48	160.005	160.235	逆に
TP-S11-C-55	160.076	160.746	そうっすよね
TP-S11-A-32	160.698	161.574	{LAUGH}
TP-S11-B-49	160.915	161.601	短い
TP-S11-C-56	160.961	162.125	なかなかきついっすよね
TP-S11-A-33	162.228	162.502	
TP-S11-B-50	163.247	164.782	短期間でいかに
TP-S11-A-34	163.575	165.631	うん やっぱ東京ですからね
TP-S11-C-57	165.389	165.693	んー
TP-S11-C-58	166.059	166.508	でまず
TP-S11-B-51	166.09	166.509	東京
TP-S11-D-31	166.127	167.348	やっぱ東京ですかね
TP-S11-A-35	166.219	168.264	一泊二日 うん うん
TP-S11-B-52	166.984	167.93	東京ですかね
TP-S11-C-59	167.2	168.193	東京かあ 
TP-S11-B-53	168.542	170.823	まいっても関東近県とかですか
TP-S11-C-60	168.87	169.491	まず
TP-S11-A-36	171.259	171.906	んーなんか
TP-S11-C-61	171.632	171.808	
TP-S11-A-37	172.145	173.414	ね 成田からきて
TP-S11-D-32	172.494	172.779	確かに
TP-S11-A-38	173.907	174.129	ま
TP-S11-C-62	174.257	178.444	成田から来て 東京らへんで遊んで帰るみたいな感じですか
TP-S11-A-39	175.713	176.167	うん
TP-S11-A-40	177.274	177.869	うんうん
TP-S11-B-54	178.16	178.974	ですかね
TP-S11-A-41	178.809	181.488	一泊二日なら全然まわれないですよね
TP-S11-C-63	180.346	182.374	そうすると富士山とか登れないっすよね
TP-S11-A-42	181.525	181.674	{LAUGH}
TP-S11-A-43	182.308	182.829	うん
TP-S11-B-55	182.567	183.829	そうですね
TP-S11-C-64	183.072	183.892	一泊二日だと
TP-S11-A-44	183.963	184.284	うん
TP-S11-D-33	184.06	185.785	ちょっと富士山は厳しいですよね
TP-S11-B-56	184.903	185.898	厳しいですね
TP-S11-A-45	185.704	186.059	うん
TP-S11-B-57	186.861	188.498	なるとやっぱちょっと厳しいな
TP-S11-A-46	187.072	187.835	厳しいですね
TP-S11-B-58	189.838	189.898	でっ
TP-S11-B-59	190.173	191.2	きんなったらよっと
TP-S11-C-65	191.394	193.169	やっぱ観光名所巡る感じ
TP-S11-A-47	192.35	193.394	あーでも京都でも
TP-S11-D-34	192.789	193.214	観光名所
TP-S11-A-48	193.617	194.535	あれかな 関
TP-S11-B-60	194.205	194.612	京都
TP-S11-A-49	194.888	195.619	関空から
TP-S11-C-66	196.0	197.708	まあ関空からで行けると思うすけど
TP-S11-A-50	196.091	197.473	そんな遠くないのかな
TP-S11-B-61	197.597	198.544	あーそっか
TP-S11-A-51	198.105	199.415	あー どうなんですかね
TP-S11-D-35	200.206	201.016	どうなんでしょうね
TP-S11-C-67	201.555	201.973	んー
TP-S11-A-52	202.841	203.26	まあ きょうち
TP-S11-A-53	203.532	203.98	京都
TP-S11-A-54	204.965	205.294	うん
TP-S11-C-68	205.271	206.817	まあそうすると場所的には
TP-S11-C-69	207.117	208.493	京都か東京かの
TP-S11-B-62	207.891	208.206	東京
TP-S11-A-55	208.292	208.566	うん
TP-S11-C-70	208.891	209.0	ん
TP-S11-C-71	209.26	210.357	二つみたいな感じですよね
TP-S11-D-36	209.629	210.899	そうですよね
TP-S11-B-63	210.391	212.951	んー そうですね どっちがいいんだろ
